Iteration,Index,Smarts,ParNum,ParentParNum,RefType,Matches,Molecules,FractionMatched,Denominator
641,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',359,42,307,307 
641,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',637,34,355,552 
641,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',192,25,128,156 
641,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',168,8,21,146 
642,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
642,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',359,42,307,307 
642,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',470,34,355,552 
642,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',126,25,117,156 
642,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0006',129,8,18,103 
642,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',272,42,128,131 
643,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',819,42,574,574 
643,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',359,42,307,307 
643,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',470,34,355,552 
643,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'t0003',126,25,117,156 
643,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0006',129,8,18,103 
643,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',272,42,128,131 
644,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',737,42,574,574 
644,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',326,42,307,307 
644,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',399,33,355,552 
644,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
644,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',81,6,10,146 
644,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',194,38,128,131 
644,7,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',438,42,156,156 
645,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',737,42,574,574 
645,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'t0012',326,42,307,307 
645,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',399,33,355,552 
645,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
645,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0001',81,6,10,146 
645,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',194,38,128,131 
645,7,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',438,42,156,156 
646,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',703,42,574,574 
646,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
646,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',355,33,355,552 
646,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
646,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',71,6,0,0 
646,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
646,7,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
646,8,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
647,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',703,42,574,574 
647,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
647,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',355,33,355,552 
647,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
647,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',71,6,0,0 
647,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
647,7,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
647,8,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
648,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',703,42,574,574 
648,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
648,3,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',355,33,355,552 
648,4,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
648,5,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'NONE',71,6,0,0 
648,6,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
648,7,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
648,8,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
649,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
649,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
649,3,'[*:1]~[#8!R0:2]~[*:3]~[*:4]',0,0,'NONE',0,0,0,0 
649,4,'[#6r5;X4:1]~[*:2]~[*:3]~[*:4]',0,0,'t0005',71,6,69,552 
649,5,'[#6!H1;X4:1]~[*:2]~[*:3]~[*:4]-[#1!R2]',0,0,'t0007',128,36,128,131 
649,6,'[*:1]~[#8!R4:2]~[*:3]~[*:4]',0,0,'t0003',360,42,123,156 
649,7,'[#8X2:1]~[*:2]~[*:3]~[*:4]',0,0,'t0012',558,42,307,307 
650,1,'[*:1]~[*:2]~[*:3]~[*:4]',0,0,'t0004',1058,42,574,574 
650,2,'[#8+0:1]~[*:2]~[*:3]~[*;H0:4]',0,0,'NONE',0,0,0,0 
