Iteration,Index,Smarts,Typename,ParentSMARTS,RefType,Matches,Molecules,FractionMatched,Denominator
38,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',387,42,244,244 
38,-1,'total','all','None','all',803,42,657,803 
39,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
39,2,'[#6]','c_carbon','None','CT',232,42,232,232 
39,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
39,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
39,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
39,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',387,42,244,244 
39,-1,'total','all','None','all',803,42,657,803 
40,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
40,2,'[#6]','c_carbon','None','CT',232,42,232,232 
40,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
40,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
40,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
40,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',244,38,244,244 
40,7,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
40,-1,'total','all','None','all',803,42,773,803 
41,1,'[#1]','c_hydrogen','None','HO',68,42,68,68 
41,2,'[#6]','c_carbon','None','CT',232,42,232,232 
41,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
41,4,'[#1$(*~[#6])]','c_hydrogen any c_carbon ','[#1]','H2',9,6,6,33 
41,5,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
41,6,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1$(*~[#6])]','HC',244,38,244,244 
41,7,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
41,-1,'total','all','None','all',803,42,773,803 
42,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
42,2,'[#6]','c_carbon','None','CT',232,42,232,232 
42,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
42,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
42,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
42,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
42,-1,'total','all','None','all',803,42,767,803 
43,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
43,2,'[#6]','c_carbon','None','CT',232,42,232,232 
43,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
43,4,'[#8$(*-[#1])]','c_oxygen singly c_hydrogen ','[#8]','OH',68,42,68,68 
43,5,'[#1$(*~[#6]~[#6])]','c_hydrogen any c_carbon any c_carbon','[#1]','HC',244,38,244,244 
43,6,'[#1$(*~[#6](~[#8])~[#6])]','c_hydrogen any c_carbon any c_carbon (any c_oxygen)','[#1$(*~[#6]~[#6])]','H1',143,42,116,116 
43,-1,'total','all','None','all',803,42,767,803 
44,1,'[#1]','c_hydrogen','None','HO',77,42,68,68 
44,2,'[#6]','c_carbon','None','CT',232,42,232,232 
44,3,'[#8]','c_oxygen','None','OS',39,30,39,39 
